,panelLength,stiffenerPitch,panelThickness,panelPlyFractions,stiffenerHeight,stiffenerThickness,stiffenerPlyFractions
RIBS/RIB.00/SEG.00,0.5862909833001789,0.15,0.002854641606967315,[0.1  0.35 0.35 0.2 ],0.03478934654956694,0.0011596448849855662,[0.4441 0.222  0.222  0.1119]
RIBS/RIB.01/SEG.00,0.5447270319999999,0.15,0.002629681657180203,[0.1  0.35 0.35 0.2 ],0.03208302131462796,0.0010694340438209317,[0.4441 0.222  0.222  0.1119]
RIBS/RIB.02/SEG.00,0.4919728275000001,0.15,0.0025158220982303453,[0.1  0.35 0.35 0.2 ],0.028938575871683626,0.0010679604023446244,[0.4441 0.222  0.222  0.1119]
RIBS/RIB.03/SEG.00,0.4252157850000002,0.15,0.0014253865100128055,[0.1  0.35 0.35 0.2 ],0.025,0.0008333333333333332,[0.4441 0.222  0.222  0.1119]
RIBS/RIB.04/SEG.00,0.4101025243999997,0.15,0.002755394377047883,[0.1  0.35 0.35 0.2 ],0.025,0.0015809624330685719,[0.4441 0.222  0.222  0.1119]
RIBS/RIB.05/SEG.00,0.39498926510000004,0.15,0.002790714873521768,[0.1  0.35 0.35 0.2 ],0.025,0.0012934384483446418,[0.4441 0.222  0.222  0.1119]
RIBS/RIB.06/SEG.00,0.3798760042999999,0.15,0.0030111270371485327,[0.1  0.35 0.35 0.2 ],0.025,0.0012498744061394463,[0.4441 0.222  0.222  0.1119]
RIBS/RIB.07/SEG.00,0.3647627450000001,0.15,0.003043880391165752,[0.1  0.35 0.35 0.2 ],0.025,0.0012777689019395123,[0.4441 0.222  0.222  0.1119]
RIBS/RIB.08/SEG.00,0.34964948610000013,0.15,0.003049632304361485,[0.1  0.35 0.35 0.2 ],0.025,0.0013101001359030506,[0.4441 0.222  0.222  0.1119]
RIBS/RIB.09/SEG.00,0.3345362254,0.15,0.0030145959795132783,[0.1  0.35 0.35 0.2 ],0.025,0.001340191758169709,[0.4441 0.222  0.222  0.1119]
RIBS/RIB.10/SEG.00,0.3194229668999995,0.15,0.0029492947735924196,[0.1  0.35 0.35 0.2 ],0.025,0.0013408143526291,[0.4441 0.222  0.222  0.1119]
RIBS/RIB.11/SEG.00,0.30430970780000005,0.15,0.002877561778281274,[0.1  0.35 0.35 0.2 ],0.025,0.0013374373296538853,[0.4441 0.222  0.222  0.1119]
RIBS/RIB.12/SEG.00,0.28919644850000015,0.15,0.002798637674292868,[0.1  0.35 0.35 0.2 ],0.025,0.0013280206724716646,[0.4441 0.222  0.222  0.1119]
RIBS/RIB.13/SEG.00,0.2740831909000002,0.15,0.002701002331082044,[0.1  0.35 0.35 0.2 ],0.025,0.001312788244052877,[0.4441 0.222  0.222  0.1119]
RIBS/RIB.14/SEG.00,0.25896993159999987,0.15,0.0025960298133088045,[0.1  0.35 0.35 0.2 ],0.025,0.0012852240273592914,[0.4441 0.222  0.222  0.1119]
RIBS/RIB.15/SEG.00,0.24385667450000026,0.15,0.0024776244044078122,[0.1  0.35 0.35 0.2 ],0.025,0.0012428907320610977,[0.4441 0.222  0.222  0.1119]
RIBS/RIB.16/SEG.00,0.2287434183999999,0.15,0.0023273298312808588,[0.1  0.35 0.35 0.2 ],0.025,0.0011723889646470202,[0.4441 0.222  0.222  0.1119]
RIBS/RIB.17/SEG.00,0.21363016,0.15,0.002160875935545518,[0.1  0.35 0.35 0.2 ],0.025,0.0010875122968816626,[0.4441 0.222  0.222  0.1119]
RIBS/RIB.18/SEG.00,0.19851690526990867,0.15,0.0019497732503743225,[0.1  0.35 0.35 0.2 ],0.025,0.0009686194563832979,[0.4441 0.222  0.222  0.1119]
RIBS/RIB.19/SEG.00,0.18340365019000004,0.15,0.0016993090509908,[0.1  0.35 0.35 0.2 ],0.025,0.0008333333333333328,[0.4441 0.222  0.222  0.1119]
RIBS/RIB.20/SEG.00,0.16829039575,0.15,0.0013747378727006934,[0.1  0.35 0.35 0.2 ],0.025,0.0008333333333333343,[0.4441 0.222  0.222  0.1119]
RIBS/RIB.21/SEG.00,0.1531771448599999,0.15,0.0012470486520667267,[0.1  0.35 0.35 0.2 ],0.025,0.0008333333333333328,[0.4441 0.222  0.222  0.1119]
RIBS/RIB.22/SEG.00,0.13806389243000006,0.15,0.0010897509220788592,[0.1  0.35 0.35 0.2 ],0.025,0.0008333333333333311,[0.4441 0.222  0.222  0.1119]
SPARS/SPAR.00/SEG.00,0.5862909833,0.15,0.0025319415576931553,[0.1  0.35 0.35 0.2 ],0.030113688267280076,0.001003789608909334,[0.4441 0.222  0.222  0.1119]
SPARS/SPAR.00/SEG.01,0.544727032,0.15,0.0025485675694792887,[0.1  0.35 0.35 0.2 ],0.025699574352404154,0.001880631603639247,[0.4441 0.222  0.222  0.1119]
