,Lx,Ly,AR,thick,E,nu,D,Sx,Sxy,Sy,eig1,eig2,eig3,eig4,eig5
0,1.0,1.0,1.0,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,10.728488390650508,17.15216726939368,32.217736056040344,42.597726736115206,51.45340468602534
1,1.0,1.0909090909090908,1.0909090909090908,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,10.811570629688177,15.503813796011858,28.04587191707609,42.93543919847701,48.26795511557833
2,1.0,1.1818181818181819,1.1818181818181819,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.034085696493536,14.259287948206401,24.812939770748542,42.52740625360273,43.82861436611609
3,1.0,1.2727272727272727,1.2727272727272727,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.369901064537542,13.31061668985764,22.262746616770972,37.50344616118487,44.57903658387937
4,1.0,1.3636363636363638,1.3636363636363638,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.801288322865837,12.584513369064519,20.221214195831973,33.45504476447841,43.66129047205839
5,1.0,1.4545454545454546,1.4545454545454546,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,12.029819537498202,12.315876207667452,18.566721362612956,30.147979910147626,43.188378186827975
6,1.0,1.5454545454545454,1.5454545454545454,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.609947233989894,12.904818451662344,17.21222566897878,27.414433926156395,43.07648654773628
7,1.0,1.6363636363636362,1.6363636363636362,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.298169329822882,13.561652954454345,16.094107627209084,25.1316351314036,39.75392077552417
8,1.0,1.7272727272727273,1.7272727272727273,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.074594623876184,14.281568089036169,15.164998688412197,23.208099655105375,36.31319032417924
9,1.0,1.8181818181818183,1.8181818181818183,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,10.92417245558884,14.389028868841692,15.060936231302676,21.574534439067754,33.37899811295824
10,1.0,1.9090909090909092,1.9090909090909092,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,10.835345145089649,13.738677628400415,15.89693597898752,20.177681328319515,30.85798760685471
11,1.0,2.0,2.0,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,10.799118577540485,13.192489111847294,16.78740305236683,18.976064123609632,28.67740129482017
12,1.0,2.090909090909091,2.090909090909091,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,10.808408984652909,12.73357505369266,17.73061595750211,17.93699521888168,26.779862112200703
13,1.0,2.1818181818181817,2.1818181818181817,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,10.857575959336023,12.348483809904614,17.034432869560543,18.725202984444543,25.119633335907558
14,1.0,2.2727272727272725,2.2727272727272725,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,10.942083400827057,12.026395425264026,16.24742404731349,19.770058000038215,23.659897675117314
15,1.0,2.3636363636363638,2.3636363636363638,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.058249874677122,11.758527257112497,15.558956475359743,20.864279979072922,22.37074978463376
16,1.0,2.4545454545454546,2.4545454545454546,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.203062384735436,11.53769052768146,14.955101987543115,21.227694068495964,22.007130456577247
17,1.0,2.5454545454545454,2.5454545454545454,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.351986754531174,11.366452557975437,14.410884753991438,20.165965339856747,23.19188834282242
18,1.0,2.6363636363636367,2.6363636363636367,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.214395574670284,11.569105851319875,13.957209794297757,19.302421492088804,24.436343400746598
19,1.0,2.7272727272727275,2.7272727272727275,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.102890961953836,11.786545900023947,13.545636333342676,18.489345374022395,25.72176844242616
20,1.0,2.8181818181818183,2.8181818181818183,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.019974618254418,12.024903243846525,13.182927281889636,17.75945242170647,25.62794269440184
21,1.0,2.909090909090909,2.909090909090909,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,10.962712181574343,12.28294816628425,12.863393845254405,17.102731190843404,24.463668554689743
22,1.0,3.0,3.0,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,10.928615360285617,12.559614095530792,12.58202164145215,16.510835430399005,23.4098834373818
23,1.0,3.090909090909091,3.090909090909091,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,10.915523272329894,12.335175129707107,12.854069605001923,15.97588283891544,22.446277075037084
24,1.0,3.1818181818181817,3.1818181818181817,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,10.92162584753591,12.118792806024688,13.165479945159653,15.492200908146389,21.570216590457992
25,1.0,3.272727272727273,3.272727272727273,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,10.945331198861888,11.929968976222614,13.493204113530984,15.054173494235075,20.769883333013755
